State,Age,Gender,Plan,Price
CO,53,M,SA1,407.03
CO,54,M,SA1,419.2
CO,55,M,SA1,431.36
CO,56,M,SA1,447.22
CO,57,M,SA1,463.07
CO,58,M,SA1,478.93
CO,59,M,SA1,494.78
CO,60,M,SA1,510.64
CO,61,M,SA1,526.49
CO,62,M,SA1,542.35
CO,63,M,SA1,558.2
CO,64,M,SA1,574.06
CO,18,M,SA2,198.57
CO,19,M,SA2,201.09
CO,20,M,SA2,203.61
CO,21,M,SA2,206.13
CO,22,M,SA2,208.66
CO,23,M,SA2,211.18
CO,24,M,SA2,213.7
CO,25,M,SA2,216.22
CO,26,M,SA2,221.07
CO,27,M,SA2,225.91
CO,28,M,SA2,230.76
CO,29,M,SA2,235.61
CO,30,M,SA2,240.46
CO,31,M,SA2,245.3
CO,32,M,SA2,250.15
CO,33,M,SA2,255
CO,34,M,SA2,259.84
CO,35,M,SA2,264.69
CO,36,M,SA2,276.34
CO,37,M,SA2,287.99
CO,38,M,SA2,299.64
CO,39,M,SA2,311.29
CO,40,M,SA2,322.94
CO,41,M,SA2,334.6
CO,42,M,SA2,346.25
CO,43,M,SA2,357.9
CO,44,M,SA2,369.55
CO,45,M,SA2,381.2
CO,46,M,SA2,397.18
CO,47,M,SA2,413.16
CO,48,M,SA2,429.14
CO,49,M,SA2,445.12
CO,50,M,SA2,461.1
CO,51,M,SA2,477.07
CO,52,M,SA2,493.05
CO,53,M,SA2,509.03
CO,54,M,SA2,525.01
CO,55,M,SA2,540.99
CO,56,M,SA2,561.41
CO,57,M,SA2,581.82
CO,58,M,SA2,602.24
CO,59,M,SA2,622.66
CO,60,M,SA2,643.07
CO,61,M,SA2,663.49
CO,62,M,SA2,683.91
CO,63,M,SA2,704.32
CO,64,M,SA2,724.74
CO,18,M,SA3,185.3
CO,19,M,SA3,187.8
CO,20,M,SA3,190.31
CO,21,M,SA3,192.81
CO,22,M,SA3,195.32
CO,23,M,SA3,197.82
CO,24,M,SA3,200.33
CO,25,M,SA3,202.83
CO,26,M,SA3,207.21
CO,27,M,SA3,211.6
CO,28,M,SA3,215.98
CO,29,M,SA3,220.37
CO,30,M,SA3,224.75
CO,31,M,SA3,229.13
CO,32,M,SA3,233.52
CO,33,M,SA3,237.9
CO,34,M,SA3,242.29
CO,35,M,SA3,246.67
CO,36,M,SA3,256.8
CO,37,M,SA3,266.93
CO,38,M,SA3,277.05
CO,39,M,SA3,287.18
CO,40,M,SA3,297.31
CO,41,M,SA3,307.44
CO,42,M,SA3,317.57
CO,43,M,SA3,327.69
CO,44,M,SA3,337.82
CO,45,M,SA3,347.95
CO,46,M,SA3,361.88
CO,47,M,SA3,375.8
CO,48,M,SA3,389.73
CO,49,M,SA3,403.66
CO,50,M,SA3,417.58
CO,51,M,SA3,431.51
CO,52,M,SA3,445.44
CO,53,M,SA3,459.37
CO,54,M,SA3,473.29
CO,55,M,SA3,487.22
CO,56,M,SA3,505.25
CO,57,M,SA3,523.29
CO,58,M,SA3,541.32
CO,59,M,SA3,559.35
CO,60,M,SA3,577.39
CO,61,M,SA3,595.42
CO,62,M,SA3,613.45
CO,63,M,SA3,631.49
CO,64,M,SA3,649.52
CO,18,M,SA4,222.46
CO,19,M,SA4,225.37
CO,20,M,SA4,228.29
CO,21,M,SA4,231.2
CO,22,M,SA4,234.12
CO,23,M,SA4,237.03
CO,24,M,SA4,239.95
CO,25,M,SA4,242.86
CO,26,M,SA4,248.59
CO,27,M,SA4,254.32
CO,28,M,SA4,260.06
CO,29,M,SA4,265.79
CO,30,M,SA4,271.52
CO,31,M,SA4,277.25
CO,32,M,SA4,282.98
CO,33,M,SA4,288.72
CO,34,M,SA4,294.45
CO,35,M,SA4,300.18
CO,36,M,SA4,314.02
CO,37,M,SA4,327.87
CO,38,M,SA4,341.71
CO,39,M,SA4,355.55
CO,40,M,SA4,369.4
CO,41,M,SA4,383.24
CO,42,M,SA4,397.08
CO,43,M,SA4,410.92
CO,44,M,SA4,424.77
CO,45,M,SA4,438.61
CO,46,M,SA4,457.38
CO,47,M,SA4,476.15
CO,48,M,SA4,494.92
CO,49,M,SA4,513.69
CO,50,M,SA4,532.46
CO,51,M,SA4,551.23
CO,52,M,SA4,570
CO,53,M,SA4,588.77
CO,54,M,SA4,607.54
CO,55,M,SA4,626.31
CO,56,M,SA4,650.16
CO,57,M,SA4,674.01
CO,58,M,SA4,697.86
CO,59,M,SA4,721.71
CO,60,M,SA4,745.57
CO,61,M,SA4,769.42
CO,62,M,SA4,793.27
CO,63,M,SA4,817.12
CO,64,M,SA4,840.97
CO,18,F,SA1,168.96
CO,19,F,SA1,171.18
CO,20,F,SA1,173.39
CO,21,F,SA1,175.61
CO,22,F,SA1,177.82
CO,23,F,SA1,180.04
CO,24,F,SA1,182.25
CO,25,F,SA1,184.47
CO,26,F,SA1,188.27
CO,27,F,SA1,192.07
CO,28,F,SA1,195.88
CO,29,F,SA1,199.68
CO,30,F,SA1,203.48
CO,31,F,SA1,207.28
CO,32,F,SA1,211.08
CO,33,F,SA1,214.89
CO,34,F,SA1,218.69
CO,35,F,SA1,222.49
CO,36,F,SA1,231.21
CO,37,F,SA1,239.94
CO,38,F,SA1,248.66
CO,39,F,SA1,257.38
CO,40,F,SA1,266.1
CO,41,F,SA1,274.83
CO,42,F,SA1,283.55
